"bogus","Timestamp","Year","Day","Month","CaptureTime","SpeciesName","Sex","Age","BandNumber","TrapID","Weather","BandingReport","RecaptureYN","RecaptureMonth","RecaptureDay","Condition","Release","Comments","DataEntryPerson","Weight","WingChord","Temperature","RecaptureOriginal","RecapturePrevious","TailLength"
".","4/14/2010 13:20:56","1972","16","7","7:00:00","Song Sparrow","U","AHY (After Hatch Year)","107-151187","warbler","none","check mark in record","no check","none","none","none","none","none","Jerald Dosch","","","","","",""
".","","","","","","","","","","","","","","","","","","","Caitlin Baker","","","","","",""
".","5/13/2010 16:00:30","1972","16","7","7:00:00","Song Sparrow","U","AHY (After Hatch Year)","107-151187","Warbler","none","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:02:15","1972","16","7","7:00:00","Field Sparrow","U","AHY (After Hatch Year)","1260-74572","Warbler","none","no check mark in record","check or yes","7","9","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:03:18","1972","16","7","7:00:00","Field Sparrow","U","AHY (After Hatch Year)","1260-74541","Elevator","none","no check mark in record","check or yes","4","25","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:04:23","1972","16","7","7:00:00","Song Sparrow","U","AHY (After Hatch Year)","107-151188","Elevator","none","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:06:15","1972","16","7","13:00:00","Field Sparrow","U","HY (Hatch Year)","1260-74578","Net-Blue","none","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:07:13","1972","16","7","13:00:00","Song Sparrow","U","HY (Hatch Year)","107-151189","Warbler","none","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:08:28","1972","16","7","15:00:00","Field Sparrow","U","HY (Hatch Year)","1260-74579","Tree","none","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:09:28","1972","16","7","17:00:00","House Sparrow","U","HY (Hatch Year)","107-151190","Elevator","none","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:10:36","1972","17","7","16:00:00","House Sparrow","U","HY (Hatch Year)","107-151191","Warbler","Cloudy","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:12:50","1972","18","7","9:30:00","Robin","U","L (Local)","742-09446","72-52","Clear, calm","check mark in record","no check","none","none","natal down; docile","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:17:02","1972","18","7","9:30:00","Robin","U","U (Unknown)","742-09447","-","Clear, calm","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:18:06","1972","18","7","9:30:00","Robin","U","U (Unknown)","742-09445","-","Clear, calm","check mark in record","no check","none","none","none","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:19:33","1972","18","7","9:45:00","Catbird","M","AHY (After Hatch Year)","73-166542","Stn. Green","none","check mark in record","no check","none","none","docile","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:21:10","1972","18","7","9:45:00","Yellow Warbler","U","HY (Hatch Year)","1260-74580","Stn. Green","none","check mark in record","no check","none","none","active","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:22:46","1972","18","7","17:00:00","Field Sparrow","U","HY (Hatch Year)","1260-74581","Warbler","none","check mark in record","no check","none","none","active","none","none","Caitlin Baker","","","","","",""
".","5/13/2010 16:24:03","1972","18","7","17:00:00","Field Sparrow","U","HY (Hatch Year)","1260-74582","Warbler","none","check mark in record","no check","none","none","active","escaped; died","none","Caitlin Baker","","","","","",""
